Название на русском;Название на казахском;Область (рус);Область (каз)
Абай;Абай;Карагандинская область;Қарағанды облысы
Акколь;Ақкөл;Акмолинская область;Ақмола облысы
Аксай;Ақсай;Западно-Казахстанская область;Батыс Қазақстан облысы
Аксу;Ақсу;Павлодарская область;Павлодар облысы
Актау;Ақтау;Мангистауская область;Маңғыстау облысы
Актобе;Ақтөбе;Актюбинская область;Ақтөбе облысы
Алатау;Алатау;Алматинская область;Алматы облысы
Алга;Алға;Актюбинская область;Ақтөбе облысы
Алматы;Алматы;Город республиканского значения;Республикалық маңызы бар қала
Алтай;Алтай;Восточно-Казахстанская область;Шығыс Қазақстан облысы
Арал;Арал;Кызылординская область;Қызылорда облысы
Аркалык;Арқалық;Костанайская область;Қостанай облысы
Арыс;Арыс;Туркестанская область;Түркістан облысы
Астана;Астана;Город республиканского значения;Республикалық маңызы бар қала
Атбасар;Атбасар;Акмолинская область;Ақмола облысы
Атырау;Атырау;Атырауская область;Атырау облысы
Аягоз;Аягөз;Абайская область;Абай облысы
Байконыр;Байқоңыр;Кызылординская область;Қызылорда облысы
Балхаш;Балқаш;Карагандинская область;Қарағанды облысы
Булаево;Булаев;Северо-Казахстанская область;Солтүстік Қазақстан облысы
Державинск;Державин;Акмолинская область;Ақмола облысы
Ерейментау;Ерейментау;Акмолинская область;Ақмола облысы
Есик;Есік;Алматинская область;Алматы облысы
Есиль;Есіл;Акмолинская область;Ақмола облысы
Жанаозен;Жаңаөзен;Мангистауская область;Маңғыстау облысы
Жанатас;Жаңатас;Жамбылская область;Жамбыл облысы
Жаркент;Жаркент;Жетысуская область;Жетісу облысы
Жезказган;Жезқазған;Улытауская область;Ұлытау облысы
Жем;Жем;Актюбинская область;Ақтөбе облысы
Казалинск;Қазалы;Кызылординская область;Қызылорда облысы
Кандыагаш;Қандыағаш;Актюбинская область;Ақтөбе облысы
Караганды;Қарағанды;Карагандинская область;Қарағанды облысы
Каражал;Қаражал;Улытауская область;Ұлытау облысы
Каратау;Қаратау;Жамбылская область;Жамбыл облысы
Каскелен;Қаскелең;Алматинская область;Алматы облысы
Кокшетау;Көкшетау;Акмолинская область;Ақмола облысы
Конаев;Қонаев;Алматинская область;Алматы облысы
Костанай;Қостанай;Костанайская область;Қостанай облысы
Кулсары;Құлсары;Атырауская область;Атырау облысы
Кызылорда;Қызылорда;Кызылординская область;Қызылорда облысы
Павлодар;Павлодар;Павлодарская область;Павлодар облысы
Петропавловск;Петропавл;Северо-Казахстанская область;Солтүстік Қазақстан облысы
Рудный;Рудный;Костанайская область;Қостанай облысы
Семей;Семей;Абайская область;Абай облысы
Талдыкорган;Талдықорған;Жетысуская область;Жетісу облысы
Тараз;Тараз;Жамбылская область;Жамбыл облысы
Темиртау;Теміртау;Карагандинская область;Қарағанды облысы
Туркестан;Түркістан;Туркестанская область;Түркістан облысы
Уральск;Орал;Западно-Казахстанская область;Батыс Қазақстан облысы
Усть-Каменогорск;Өскемен;Восточно-Казахстанская область;Шығыс Қазақстан облысы
Шымкент;Шымкент;Город республиканского значения;Республикалық маңызы бар қала
